Prof Name,Course Number
"Perras, Laurent",ENGL 1200
"Hills, KJ",ENSK 0716
"Hills, KJ",ENSK 0826
"Hills, KJ",ENSK 0858
"Boulanger, Paula",ESTH 1010
"Dooley, Linda",ESTH 1010
"Fisette, Jaclyn",ESTH 1010
"Hogan, Paula",ESTH 1010
"McDonald, Pamela",ESTH 1010
"Nagai-Price, Chikage",ESTH 1010
"Salatelis-Ball, Yota",ESTH 1010
"Anand, Amanda",ESTH 1020
"Boulanger, Paula",ESTH 1020
"Dooley, Linda",ESTH 1020
"Fisette, Jaclyn",ESTH 1020
"Hogan, Paula",ESTH 1020
"McDonald, Pamela",ESTH 1020
"Nagai-Price, Chikage",ESTH 1020
"Salatelis-Ball, Yota",ESTH 1020
"Tran, Teresa",ESTH 1020
"Anand, Amanda",ESTH 1030
"Boulanger, Paula",ESTH 1030
"Dooley, Linda",ESTH 1030
"Fisette, Jaclyn",ESTH 1030
"Hogan, Paula",ESTH 1030
"McDonald, Pamela",ESTH 1030
"Nagai-Price, Chikage",ESTH 1030
"Salatelis-Ball, Yota",ESTH 1030
"Tran, Teresa",ESTH 1030
"Vila-Cha, Ana",ESTH 1030
"Bestard, Stacy",FSCR 0610
"Bestard, Stacy",FSCR 0615
"Bestard, Stacy",FSCR 0620
"Bestard, Stacy",FSCR 0625
"Bestard, Stacy",FSCR 0630
"Bestard, Stacy",FSCR 0635
"Bestard, Stacy",FSCR 0640
"Bestard, Stacy",FSCR 0645
"Bestard, Stacy",FSCR 0650
"Bestard, Stacy",FSCR 0655
"Bestard, Stacy",FSCR 0660
"Belton, Susan",HAIR 1010
"Convery, Christopher",HAIR 1010
"Doak, Sherry",HAIR 1010
"Mitchell, Kelly",HAIR 1010
"Murphy-Clare, Danielle",HAIR 1010
"Tse, Gwen",HAIR 1010
"Belton, Susan",HAIR 1020
"Brandwood, Linda",HAIR 1020
"Chan, Pauline",HAIR 1020
"Convery, Christopher",HAIR 1020
"Doak, Sherry",HAIR 1020
"Mitchell, Kelly",HAIR 1020
"Murphy-Clare, Danielle",HAIR 1020
"Tse, Gwen",HAIR 1020
"Belton, Susan",HAIR 1030
"Brown, Georgina",HAIR 1030
"Chan, Pauline",HAIR 1030
"Convery, Christopher",HAIR 1030
"Doak, Sherry",HAIR 1030
"Jeong, Soo",HAIR 1030
"Jones, Crystle",HAIR 1030
"Mitchell, Kelly",HAIR 1030
"Murphy-Clare, Danielle",HAIR 1030
"Penner, Megan",HAIR 1030
"Pray, Crystal",HAIR 1030
"Tse, Gwen",HAIR 1030
"Wright, Julie",HAIR 1030
"Griffiths, Katherine",HLUC 1005
"Griffiths, Katherine",HLUC 1015
"Castling, Paula",HLUC 1025
"Griffiths, Katherine",HLUC 1040
"Castling, Paula",HLUC 1045
"Castling, Paula",HLUC 1105
"Castling, Paula",HLUC 1125
"Griffiths, Katherine",HLUC 1135
"Griffiths, Katherine",HLUC 1145
"Antica, Beatrice",HOSP 1120
"Kaplan, Belinda",HOSP 1120
"Najafi, Nazila",HOSP 1310
"Sucloy, Lorraine",HOSP 1310
"Davies, Mandy",HOSP 1311
"Sucloy, Lorraine",HOSP 1311
"Davies, Mandy",HOSP 1312
"Davies, Mandy",HOSP 1620
"Lie, Linda",HOSP 2102
"Khayambashi, Hassan",HOSP 2114
"Gregoire, Barbara",HOSP 2310
"Segal, Ricci",HOSP 2310
"Contois, Theresa",HOSP 2360
"Gregoire, Barbara",HOSP 2360
"Orimaco, Helen",HOSP 2360
"Tittel, Michael",HOSP 2360
"Mand, Bobbi",HOSP 2380
"Zenti, Shawna",HOSP 2410
"Jones, Chantal",HOSP 2470
"Zenti, Shawna",HOSP 2470
"Chen, Annie",HOSP 2501
"Milicevic, Nesha",HOSP 2501
"Simpson, Darren",HOSP 2501
"Antica, Beatrice",HOSP 2502
"Mon-Kau, Paul",HOSP 2502
"Ashktorab, Niloofar",HOSP 2503
"Dixon, Gill",HOSP 2503
"Khayambashi, Hassan",HOSP 2503
"Mon-Kau, Paul",HOSP 2504
"Randhawa, Pavel",HOSP 2504
"Zenti, Shawna",HOSP 2504
"Antica, Beatrice",HOSP 2620
"Moshiri, Ghoncheh",HOSP 2620
"Randall, Daniela",HRCA 1135
"Singh, Kavita",HRCA 1140
"Grewal, Amy",HRCA 1182
"Grefiel, Leslie Mae",HRCA 1183
"Lin, Shiow",HRCA 1183
"Savage, Chelsea",HRCA 1184
"Grefiel, Leslie Mae",HRCA 1190
"Singh, Kavita",HRCA 1190
"Grefiel, Leslie Mae",HRCA 1191
"Lin, Shiow",HRCA 1191
"Casajoras, Akie",HRCA 1291
"To, Naomi",HRCA 1291
"Rahmati, Nadia",HRCA 1292
"Casajoras, Akie",HRCA 1293
"Rahmati, Nadia",HRCA 1293
"Randall, Daniela",HRCA 1294
"Randall, Daniela",HRCA 1391
"Hemingway, Bryan",INTR 2100
"Mykle-Hotzon, Barbara",INTR 2120
"MacFayden, Sara",INTR 2140
"Taylor, Sarah",INTR 2150
"Mykle-Hotzon, Barbara",INTR 2210
"MacFayden, Sara",INTR 2240
"Pranzl, Kristen",INTR 2260
"Pranzl, Kristen",INTR 3110
"Hagemoen, Kirsten",INTR 3120
"MacFayden, Sara",INTR 3140
"Pranzl, Kristen",INTR 3150
"Pranzl, Kristen",INTR 3210
"Bondarenko, Andrey",JADE 1120
"Chan, YC",JADE 1121
"Perrone, Louise",JADE 1122
"Anctil, Julie",JADE 1123
"Bondarenko, Andrey",JADE 1123
"Anctil, Julie",JADE 1124
"Bondarenko, Andrey",JADE 1124
"Perrone, Louise",JADE 1125
"Bryson, Alexia",JADE 1126
"Anctil, Julie",JADE 1127
"Bondarenko, Andrey",JADE 1127
"Perrone, Louise",JADE 1128
"Anctil, Julie",JADE 2220
"Anctil, Julie",JADE 2221
"Chan, YC",JADE 2222
"Bryson, Alexia",JADE 2223
"Kim, Mira",JADE 2224
"Anctil, Julie",JADE 2225
"Anctil, Julie",JADE 2226
"Perrone, Louise",JADE 2227
"Kim, Mira",JADE 2228
"Miller, Caroline",JADE 2229
"Anctil, Julie",JADE 2230
"Ivits, Shantel",MATH 0300
"Ivits, Shantel",MATH 0610
"Ivits, Shantel",MATH 0615
"Ivits, Shantel",MATH 0620
"Ivits, Shantel",MATH 0625
"Ivits, Shantel",MATH 0630
"Ivits, Shantel",MATH 0635
"Ivits, Shantel",MATH 0640
"Ivits, Shantel",MATH 0645
"Ivits, Shantel",MATH 0650
"Ivits, Shantel",MATH 0655
"Ivits, Shantel",MATH 0660
"Ivits, Shantel",MATH 0665
"MacKenzie, Michele",MATH 0750
"Silver, Lisa",MATH 0750
"Turone, Ellen",MATH 0750
"White, Jordan",MATH 0750
"Lefaivre, Jillian",MATH 0751
"MacKenzie, Michele",MATH 0751
"Silver, Lisa",MATH 0751
"Turone, Ellen",MATH 0751
"White, Jordan",MATH 0751
"Colombo, Greg",MATH 0861
"Lefaivre, Jillian",MATH 0861
"Lukits, Sherry",MATH 0861
"Manning, Garth",MATH 0861
"Potter, Chris",MATH 0861
"Richards, Skye",MATH 0861
"Lefaivre, Jillian",MATH 0862
"Manning, Garth",MATH 0862
"Turone, Ellen",MATH 0862
"Manning, Garth",MATH 0863
"Turone, Ellen",MATH 0863
"Colombo, Greg",MATH 0871
"Lefaivre, Jillian",MATH 0871
"Lukits, Sherry",MATH 0871
"Manning, Garth",MATH 0871
"Potter, Chris",MATH 0871
"Richards, Skye",MATH 0871
"Lefaivre, Jillian",MATH 0872
"Manning, Garth",MATH 0872
"Turone, Ellen",MATH 0872
"Manning, Garth",MATH 0873
"Turone, Ellen",MATH 0873
"Bhanot, Manav",MATH 0983
"Colombo, Greg",MATH 0983
"Lefaivre, Jillian",MATH 0983
"Manning, Garth",MATH 0983
"Richards, Skye",MATH 0983
"Woods, Alison",MATH 0983
"Bhanot, Manav",MATH 0993
"Colombo, Greg",MATH 0993
"Lefaivre, Jillian",MATH 0993
"Manning, Garth",MATH 0993
"Richards, Skye",MATH 0993
"Woods, Alison",MATH 0993
"Karavas, Costa",MATH 1020
"Turone, Ellen",MATH 1054
"Daskalakis, Emmanouil",MATH 1100
"Dutot, Meghan",MATH 1100
"Karavas, Costa",MATH 1111
"Dutot, Meghan",MATH 1120
"Daskalakis, Emmanouil",MATH 1200
"Daskalakis, Emmanouil",MATH 1221
"Amiraslani, Amir",MATH 2251
"Ruttle, April",MEDC 1125
"Forde, Loney",MEDC 1132
"Forde, Loney",MEDC 1141
"Forde, Loney",MEDC 1142
"Forde, Loney",MEDC 1151
"Forde, Loney",MEDC 1160
"Forde, Loney",MEDC 1236
